trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
176,False,"{'a': 0.2, 'e': 0.11999999999999922}",25,20,9.976009414426638,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.2, 'e': 0.11499999999999921}",25,0,30.090146521625886,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.2, 'e': 0.10999999999999921}",25,12,22.261695539342494,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.2, 'e': 0.1049999999999992}",30,16,22.663799279940772,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.2, 'e': 0.0999999999999992}",25,17,-26.778574399807727,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
181,False,"{'a': 0.2, 'e': 0.0949999999999992}",20,8,21.499849266766628,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.2, 'e': 0.08999999999999919}",20,10,-7.462771409787073,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
183,False,"{'a': 0.2, 'e': 0.08499999999999919}",25,0,20.19543094857767,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
184,False,"{'a': 0.2, 'e': 0.07999999999999918}",30,22,15.066365662744328,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.2, 'e': 0.07499999999999918}",20,0,23.59710220152468,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
186,False,"{'a': 0.2, 'e': 0.06999999999999917}",20,15,9.326137435990642,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.2, 'e': 0.06499999999999917}",30,16,26.22485920589597,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.2, 'e': 0.05999999999999917}",20,7,9.271239794732717,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.2, 'e': 0.054999999999999175}",25,14,9.21491850489746,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.2, 'e': 0.04999999999999918}",25,20,6.9979970279726835,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.2, 'e': 0.04499999999999918}",25,7,36.92286915114576,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.2, 'e': 0.03999999999999918}",25,0,36.82130115128758,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
193,False,"{'a': 0.2, 'e': 0.034999999999999185}",25,13,23.632624217165972,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.2, 'e': 0.029999999999999184}",25,12,-20.59358636298016,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
